anio,mes_numero,mes_nombre,periodo_fecha,desembolsos_rd,cobros_rd,balance_neto_rd
2025,1,Enero,2025-01-01,2084724386,1698130968,386593418
2025,2,Febrero,2025-02-01,1520889071,1803402337,-282513266
2025,3,Marzo,2025-03-01,1897761927,2096230055,-198468128
2025,4,Abril,2025-04-01,2361060018,2639242084,-278182066
2025,5,Mayo,2025-05-01,2642163029,2500013466,142149563
2025,6,Junio,2025-06-01,1901442792,2059112567,-157669775
2025,7,Julio,2025-07-01,2461475703,2192030457,269445246
2025,8,Agosto,2025-08-01,2318595921,2034009933,284585988
2025,9,Septiembre,2025-09-01,1643784037,1764236441,-120452404
2025,10,Octubre,2025-10-01,1497444648,1779983623,-282538975
2025,11,Noviembre,2025-11-01,1706356959,1768291330,-61934371
2025,12,Diciembre,2025-12-01,3864065727,2282158338,1581907389
2026,1,Enero,2026-01-01,1908588278,2174845755,-266257477
2026,2,Febrero,2026-02-01,1653837139,1768440049,-114602910
2026,3,Marzo,2026-03-01,2133391616,2053893409,79498207
